,Unnamed: 0_x,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,flight,Aircraft_Class,Aircraft_Stand,Taxiing_cost_solution,Parking_usage_cost_solution,Bus_usage_cost_solution,Total_cost_solution,Unnamed: 0_y,JetBridge_on_Arrival,JetBridge_on_Departure,1,2,3,4,5,Terminal,Taxiing_Time,JetBridge_Handling_Time,Away_Handling_Time,Bus_Time,num_needed_Buses,is_JetBridge,is_correct_JetBridge_Terminal,is_correct_JetBridge,Handling_Time,JetBridge_can_be_used,start_parking,end_parking,is_parking_conflict,is_wide_body_intersect,Taxiing_cost,Parking_usage_cost,Bus_usage_cost,Total_cost
10,10,A,2019-08-17 15:25:00,SU,1101,D,1,KRR,SU9,87,83,10,Regional,190,180.0,1150.0,300.0,1630.0,185,N,N,10,39,35,13,40,,6,40,50,10,2,False,,,50,False,2019-08-17 15:31:00,2019-08-17 16:21:00,False,False,180,1150,300,1630
11,11,D,2019-08-17 00:35:00,SU,1132,D,1,AER,SU9,87,82,11,Regional,217,150.0,1150.0,300.0,1600.0,212,N,N,10,35,34,12,36,,5,40,50,10,2,False,,,50,False,2019-08-16 23:40:00,2019-08-17 00:30:00,False,False,150,1150,300,1600
12,12,A,2019-08-17 14:35:00,SU,1133,D,1,AER,SU9,87,70,12,Regional,210,150.0,1150.0,195.0,1495.0,205,N,N,13,36,34,13,39,,5,40,50,13,1,False,,,50,False,2019-08-17 14:40:00,2019-08-17 15:30:00,False,False,150,1150,195,1495
13,13,D,2019-08-17 13:20:00,SU,1156,D,1,ROV,SU9,87,77,13,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 12:25:00,2019-08-17 13:15:00,False,False,150,1150,165,1465
14,14,D,2019-08-17 01:55:00,SU,1164,D,1,ROV,SU9,87,81,14,Regional,190,180.0,1150.0,300.0,1630.0,185,N,N,10,39,35,13,40,,6,40,50,10,2,False,,,50,False,2019-08-17 00:59:00,2019-08-17 01:49:00,False,False,180,1150,300,1630
15,15,A,2019-08-17 07:45:00,SU,1165,D,1,ROV,SU9,87,69,15,Regional,199,150.0,1150.0,225.0,1525.0,194,N,N,15,37,31,10,38,,5,40,50,15,1,False,,,50,False,2019-08-17 07:50:00,2019-08-17 08:40:00,False,False,150,1150,225,1525
16,16,D,2019-08-17 17:35:00,SU,1186,D,1,VOG,SU9,87,79,16,Regional,88,150.0,1150.0,180.0,1480.0,86,N,N,12,37,39,16,35,,5,40,50,12,1,False,,,50,False,2019-08-17 16:40:00,2019-08-17 17:30:00,False,False,150,1150,180,1480
17,17,A,2019-08-17 22:10:00,SU,1187,D,1,VOG,SU9,87,85,17,Regional,121,600.0,1000.0,0.0,1600.0,117,D,D,6,35,36,7,35,1.0,20,40,50,6,2,True,True,True,40,True,2019-08-17 22:30:00,2019-08-17 23:10:00,False,False,600,1000,0,1600
18,18,D,2019-08-17 01:50:00,SU,1206,D,1,KUF,SU9,87,76,18,Regional,210,150.0,1150.0,195.0,1495.0,205,N,N,13,36,34,13,39,,5,40,50,13,1,False,,,50,False,2019-08-17 00:55:00,2019-08-17 01:45:00,False,False,150,1150,195,1495
19,19,A,2019-08-17 06:10:00,SU,1207,D,1,KUF,SU9,87,79,19,Regional,203,180.0,1150.0,165.0,1495.0,198,N,N,11,37,34,11,37,,6,40,50,11,1,False,,,50,False,2019-08-17 06:16:00,2019-08-17 07:06:00,False,False,180,1150,165,1495
20,20,D,2019-08-17 01:25:00,SU,1218,D,1,PEE,SU9,87,85,20,Regional,88,150.0,1150.0,360.0,1660.0,86,N,N,12,37,39,16,35,,5,40,50,12,2,False,,,50,False,2019-08-17 00:30:00,2019-08-17 01:20:00,False,False,150,1150,360,1660
21,21,A,2019-08-17 06:40:00,SU,1219,D,1,PEE,SU9,87,80,21,Regional,199,150.0,1150.0,225.0,1525.0,194,N,N,15,37,31,10,38,,5,40,50,15,1,False,,,50,False,2019-08-17 06:45:00,2019-08-17 07:35:00,False,False,150,1150,225,1525
22,22,D,2019-08-17 09:45:00,SU,1220,D,1,GOJ,SU9,87,84,22,Regional,205,150.0,1150.0,300.0,1600.0,200,N,N,10,39,35,12,39,,5,40,50,10,2,False,,,50,False,2019-08-17 08:50:00,2019-08-17 09:40:00,False,False,150,1150,300,1600
23,23,A,2019-08-17 13:15:00,SU,1221,D,1,GOJ,SU9,87,79,23,Regional,199,150.0,1150.0,225.0,1525.0,194,N,N,15,37,31,10,38,,5,40,50,15,1,False,,,50,False,2019-08-17 13:20:00,2019-08-17 14:10:00,False,False,150,1150,225,1525
24,24,D,2019-08-17 16:30:00,SU,1226,D,1,GOJ,SU9,87,77,24,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 15:35:00,2019-08-17 16:25:00,False,False,150,1150,165,1465
25,25,A,2019-08-17 19:55:00,SU,1227,D,1,GOJ,SU9,87,53,25,Regional,210,150.0,1150.0,195.0,1495.0,205,N,N,13,36,34,13,39,,5,40,50,13,1,False,,,50,False,2019-08-17 20:00:00,2019-08-17 20:50:00,False,False,150,1150,195,1495
26,26,D,2019-08-17 06:00:00,SU,1228,D,1,GOJ,SU9,87,72,26,Regional,213,180.0,1150.0,165.0,1495.0,208,N,N,11,40,34,13,37,,6,40,50,11,1,False,,,50,False,2019-08-17 05:04:00,2019-08-17 05:54:00,False,False,180,1150,165,1495
27,27,A,2019-08-17 09:25:00,SU,1229,D,1,GOJ,SU9,87,70,27,Regional,217,150.0,1150.0,150.0,1450.0,212,N,N,10,35,34,12,36,,5,40,50,10,1,False,,,50,False,2019-08-17 09:30:00,2019-08-17 10:20:00,False,False,150,1150,150,1450
28,28,D,2019-08-17 09:30:00,SU,1230,D,1,UFA,SU9,87,84,28,Regional,191,180.0,1150.0,300.0,1630.0,186,N,N,10,36,30,15,36,,6,40,50,10,2,False,,,50,False,2019-08-17 08:34:00,2019-08-17 09:24:00,False,False,180,1150,300,1630
29,29,A,2019-08-17 14:55:00,SU,1231,D,1,UFA,SU9,87,84,29,Regional,205,150.0,1150.0,300.0,1600.0,200,N,N,10,39,35,12,39,,5,40,50,10,2,False,,,50,False,2019-08-17 15:00:00,2019-08-17 15:50:00,False,False,150,1150,300,1600
30,30,D,2019-08-17 18:05:00,SU,1260,D,1,UFA,SU9,87,48,30,Regional,205,150.0,1150.0,150.0,1450.0,200,N,N,10,39,35,12,39,,5,40,50,10,1,False,,,50,False,2019-08-17 17:10:00,2019-08-17 18:00:00,False,False,150,1150,150,1450
31,31,A,2019-08-17 23:35:00,SU,1261,D,1,UFA,SU9,87,38,31,Regional,191,180.0,1150.0,150.0,1480.0,186,N,N,10,36,30,15,36,,6,40,50,10,1,False,,,50,False,2019-08-17 23:41:00,2019-08-18 00:31:00,False,False,180,1150,150,1480
32,32,D,2019-08-17 10:45:00,SU,1286,D,1,ULV,SU9,87,85,32,Regional,205,150.0,1150.0,300.0,1600.0,200,N,N,10,39,35,12,39,,5,40,50,10,2,False,,,50,False,2019-08-17 09:50:00,2019-08-17 10:40:00,False,False,150,1150,300,1600
33,33,A,2019-08-17 15:00:00,SU,1287,D,1,ULV,SU9,87,72,33,Regional,213,180.0,1150.0,165.0,1495.0,208,N,N,11,40,34,13,37,,6,40,50,11,1,False,,,50,False,2019-08-17 15:06:00,2019-08-17 15:56:00,False,False,180,1150,165,1495
34,34,D,2019-08-17 01:50:00,SU,1288,D,1,ULV,SU9,87,82,34,Regional,206,150.0,1150.0,330.0,1630.0,201,N,N,11,38,33,11,36,,5,40,50,11,2,False,,,50,False,2019-08-17 00:55:00,2019-08-17 01:45:00,False,False,150,1150,330,1630
35,35,A,2019-08-17 06:55:00,SU,1289,D,1,ULV,SU9,87,59,35,Regional,88,150.0,1150.0,180.0,1480.0,86,N,N,12,37,39,16,35,,5,40,50,12,1,False,,,50,False,2019-08-17 07:00:00,2019-08-17 07:50:00,False,False,150,1150,180,1480
36,36,D,2019-08-17 16:55:00,SU,1292,D,1,IJK,SU9,87,82,36,Regional,205,150.0,1150.0,300.0,1600.0,200,N,N,10,39,35,12,39,,5,40,50,10,2,False,,,50,False,2019-08-17 16:00:00,2019-08-17 16:50:00,False,False,150,1150,300,1600
37,37,A,2019-08-17 21:50:00,SU,1293,D,1,IJK,SU9,87,73,37,Regional,213,180.0,1150.0,165.0,1495.0,208,N,N,11,40,34,13,37,,6,40,50,11,1,False,,,50,False,2019-08-17 21:56:00,2019-08-17 22:46:00,False,False,180,1150,165,1495
38,38,D,2019-08-17 23:25:00,SU,1294,D,1,IJK,SU9,87,72,38,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 22:30:00,2019-08-17 23:20:00,False,False,150,1150,165,1465
39,39,A,2019-08-17 04:20:00,SU,1295,D,1,IJK,SU9,87,65,39,Regional,206,150.0,1150.0,165.0,1465.0,201,N,N,11,38,33,11,36,,5,40,50,11,1,False,,,50,False,2019-08-17 04:25:00,2019-08-17 05:15:00,False,False,150,1150,165,1465
40,40,D,2019-08-17 17:50:00,SU,1316,D,1,MMK,SU9,87,70,40,Regional,206,150.0,1150.0,165.0,1465.0,201,N,N,11,38,33,11,36,,5,40,50,11,1,False,,,50,False,2019-08-17 16:55:00,2019-08-17 17:45:00,False,False,150,1150,165,1465
41,41,A,2019-08-17 00:05:00,SU,1317,D,1,MMK,SU9,87,83,41,Regional,124,600.0,1000.0,0.0,1600.0,120,D,D,5,40,40,10,37,1.0,20,40,50,5,2,True,True,True,40,True,2019-08-17 00:25:00,2019-08-17 01:05:00,False,False,600,1000,0,1600
42,42,D,2019-08-17 07:15:00,SU,1320,D,1,MMK,SU9,87,78,42,Regional,210,150.0,1150.0,195.0,1495.0,205,N,N,13,36,34,13,39,,5,40,50,13,1,False,,,50,False,2019-08-17 06:20:00,2019-08-17 07:10:00,False,False,150,1150,195,1495
43,43,A,2019-08-17 12:55:00,SU,1321,D,1,MMK,SU9,87,84,43,Regional,217,150.0,1150.0,300.0,1600.0,212,N,N,10,35,34,12,36,,5,40,50,10,2,False,,,50,False,2019-08-17 13:00:00,2019-08-17 13:50:00,False,False,150,1150,300,1600
44,44,D,2019-08-17 16:20:00,SU,1330,D,1,ARH,SU9,87,74,44,Regional,88,150.0,1150.0,180.0,1480.0,86,N,N,12,37,39,16,35,,5,40,50,12,1,False,,,50,False,2019-08-17 15:25:00,2019-08-17 16:15:00,False,False,150,1150,180,1480
45,45,A,2019-08-17 21:10:00,SU,1331,D,1,ARH,SU9,87,76,45,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 21:15:00,2019-08-17 22:05:00,False,False,150,1150,165,1465
46,46,D,2019-08-17 08:10:00,SU,1332,D,1,ARH,SU9,87,83,46,Regional,121,600.0,1000.0,0.0,1600.0,117,D,D,6,35,36,7,35,1.0,20,40,50,6,2,True,True,True,40,True,2019-08-17 07:10:00,2019-08-17 07:50:00,False,False,600,1000,0,1600
47,47,A,2019-08-17 13:00:00,SU,1333,D,1,ARH,SU9,87,83,47,Regional,116,690.0,1000.0,0.0,1690.0,112,D,D,6,39,36,7,40,1.0,23,40,50,6,2,True,True,True,40,True,2019-08-17 13:23:00,2019-08-17 14:03:00,False,False,690,1000,0,1690
48,48,D,2019-08-17 00:05:00,SU,1334,D,1,ARH,SU9,87,76,48,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-16 23:10:00,2019-08-17 00:00:00,False,False,150,1150,165,1465
49,49,A,2019-08-17 04:50:00,SU,1335,D,1,ARH,SU9,87,82,49,Regional,121,600.0,1000.0,0.0,1600.0,117,D,D,6,35,36,7,35,1.0,20,40,50,6,2,True,True,True,40,True,2019-08-17 05:10:00,2019-08-17 05:50:00,False,False,600,1000,0,1600
50,50,D,2019-08-17 08:55:00,SU,1350,D,1,VOZ,SU9,87,73,50,Regional,210,150.0,1150.0,195.0,1495.0,205,N,N,13,36,34,13,39,,5,40,50,13,1,False,,,50,False,2019-08-17 08:00:00,2019-08-17 08:50:00,False,False,150,1150,195,1495
51,51,A,2019-08-17 12:20:00,SU,1351,D,1,VOZ,SU9,87,84,51,Regional,124,600.0,1000.0,0.0,1600.0,120,D,D,5,40,40,10,37,1.0,20,40,50,5,2,True,True,True,40,True,2019-08-17 12:40:00,2019-08-17 13:20:00,False,False,600,1000,0,1600
52,52,D,2019-08-17 23:50:00,SU,1352,D,1,VOZ,SU9,87,48,52,Regional,190,180.0,1150.0,150.0,1480.0,185,N,N,10,39,35,13,40,,6,40,50,10,1,False,,,50,False,2019-08-17 22:54:00,2019-08-17 23:44:00,False,False,180,1150,150,1480
53,53,A,2019-08-17 07:30:00,SU,1353,D,1,VOZ,SU9,87,75,53,Regional,202,180.0,1150.0,165.0,1495.0,197,N,N,11,39,34,15,37,,6,40,50,11,1,False,,,50,False,2019-08-17 07:36:00,2019-08-17 08:26:00,False,False,180,1150,165,1495
54,54,D,2019-08-17 06:35:00,SU,1356,D,1,RTW,SU9,87,75,54,Regional,88,150.0,1150.0,180.0,1480.0,86,N,N,12,37,39,16,35,,5,40,50,12,1,False,,,50,False,2019-08-17 05:40:00,2019-08-17 06:30:00,False,False,150,1150,180,1480
55,55,A,2019-08-17 11:10:00,SU,1357,D,1,RTW,SU9,87,82,55,Regional,89,150.0,1150.0,330.0,1630.0,87,N,N,11,36,40,16,40,,5,40,50,11,2,False,,,50,False,2019-08-17 11:15:00,2019-08-17 12:05:00,False,False,150,1150,330,1630
56,56,D,2019-08-17 19:15:00,SU,1358,D,1,RTW,SU9,87,65,56,Regional,206,150.0,1150.0,165.0,1465.0,201,N,N,11,38,33,11,36,,5,40,50,11,1,False,,,50,False,2019-08-17 18:20:00,2019-08-17 19:10:00,False,False,150,1150,165,1465
57,57,A,2019-08-17 23:35:00,SU,1359,D,1,RTW,SU9,87,72,57,Regional,88,150.0,1150.0,180.0,1480.0,86,N,N,12,37,39,16,35,,5,40,50,12,1,False,,,50,False,2019-08-17 23:40:00,2019-08-18 00:30:00,False,False,150,1150,180,1480
58,58,D,2019-08-17 09:45:00,SU,1360,D,1,RTW,SU9,87,78,58,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 08:50:00,2019-08-17 09:40:00,False,False,150,1150,165,1465
59,59,A,2019-08-17 14:05:00,SU,1361,D,1,RTW,SU9,87,53,59,Regional,206,150.0,1150.0,165.0,1465.0,201,N,N,11,38,33,11,36,,5,40,50,11,1,False,,,50,False,2019-08-17 14:10:00,2019-08-17 15:00:00,False,False,150,1150,165,1465
60,60,D,2019-08-17 16:40:00,SU,1362,D,1,RTW,SU9,87,41,60,Regional,210,150.0,1150.0,195.0,1495.0,205,N,N,13,36,34,13,39,,5,40,50,13,1,False,,,50,False,2019-08-17 15:45:00,2019-08-17 16:35:00,False,False,150,1150,195,1495
61,61,A,2019-08-17 21:05:00,SU,1363,D,1,RTW,SU9,87,48,61,Regional,193,210.0,1150.0,165.0,1525.0,188,N,N,11,38,35,13,39,,7,40,50,11,1,False,,,50,False,2019-08-17 21:12:00,2019-08-17 22:02:00,False,False,210,1150,165,1525
62,62,D,2019-08-17 17:35:00,SU,1364,D,1,STW,SU9,87,86,62,Regional,89,150.0,1150.0,330.0,1630.0,87,N,N,11,36,40,16,40,,5,40,50,11,2,False,,,50,False,2019-08-17 16:40:00,2019-08-17 17:30:00,False,False,150,1150,330,1630
63,63,A,2019-08-17 23:15:00,SU,1365,D,1,STW,SU9,87,70,63,Regional,202,180.0,1150.0,165.0,1495.0,197,N,N,11,39,34,15,37,,6,40,50,11,1,False,,,50,False,2019-08-17 23:21:00,2019-08-18 00:11:00,False,False,180,1150,165,1495
64,64,D,2019-08-17 09:00:00,SU,1366,D,1,STW,SU9,87,87,64,Regional,121,600.0,1000.0,0.0,1600.0,117,D,D,6,35,36,7,35,1.0,20,40,50,6,2,True,True,True,40,True,2019-08-17 08:00:00,2019-08-17 08:40:00,False,False,600,1000,0,1600
65,65,A,2019-08-17 14:25:00,SU,1367,D,1,STW,SU9,87,84,65,Regional,190,180.0,1150.0,300.0,1630.0,185,N,N,10,39,35,13,40,,6,40,50,10,2,False,,,50,False,2019-08-17 14:31:00,2019-08-17 15:21:00,False,False,180,1150,300,1630
66,66,D,2019-08-17 21:10:00,SU,1368,D,1,STW,SU9,87,54,66,Regional,191,180.0,1150.0,150.0,1480.0,186,N,N,10,36,30,15,36,,6,40,50,10,1,False,,,50,False,2019-08-17 20:14:00,2019-08-17 21:04:00,False,False,180,1150,150,1480
67,67,A,2019-08-17 05:15:00,SU,1369,D,1,STW,SU9,87,78,67,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 05:20:00,2019-08-17 06:10:00,False,False,150,1150,165,1465
68,68,D,2019-08-17 10:25:00,SU,1370,D,1,EGO,SU9,87,76,68,Regional,206,150.0,1150.0,165.0,1465.0,201,N,N,11,38,33,11,36,,5,40,50,11,1,False,,,50,False,2019-08-17 09:30:00,2019-08-17 10:20:00,False,False,150,1150,165,1465
69,69,A,2019-08-17 14:20:00,SU,1371,D,1,EGO,SU9,87,70,69,Regional,199,150.0,1150.0,225.0,1525.0,194,N,N,15,37,31,10,38,,5,40,50,15,1,False,,,50,False,2019-08-17 14:25:00,2019-08-17 15:15:00,False,False,150,1150,225,1525
70,70,D,2019-08-17 23:55:00,SU,1372,D,1,EGO,SU9,87,37,70,Regional,217,150.0,1150.0,150.0,1450.0,212,N,N,10,35,34,12,36,,5,40,50,10,1,False,,,50,False,2019-08-17 23:00:00,2019-08-17 23:50:00,False,False,150,1150,150,1450
71,71,A,2019-08-17 04:10:00,SU,1373,D,1,EGO,SU9,87,75,71,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 04:15:00,2019-08-17 05:05:00,False,False,150,1150,165,1465
72,72,D,2019-08-17 19:40:00,SU,1374,D,1,EGO,SU9,87,66,72,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 18:45:00,2019-08-17 19:35:00,False,False,150,1150,165,1465
73,73,A,2019-08-17 23:35:00,SU,1375,D,1,EGO,SU9,87,77,73,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 23:40:00,2019-08-18 00:30:00,False,False,150,1150,165,1465
74,74,D,2019-08-17 11:45:00,SU,1376,D,1,RTW,SU9,87,83,74,Regional,124,600.0,1000.0,0.0,1600.0,120,D,D,5,40,40,10,37,1.0,20,40,50,5,2,True,True,True,40,True,2019-08-17 10:45:00,2019-08-17 11:25:00,False,False,600,1000,0,1600
75,75,A,2019-08-17 15:55:00,SU,1377,D,1,RTW,SU9,87,77,75,Regional,193,210.0,1150.0,165.0,1525.0,188,N,N,11,38,35,13,39,,7,40,50,11,1,False,,,50,False,2019-08-17 16:02:00,2019-08-17 16:52:00,False,False,210,1150,165,1525
76,76,D,2019-08-17 15:25:00,SU,1378,D,1,RTW,SU9,87,41,76,Regional,89,150.0,1150.0,165.0,1465.0,87,N,N,11,36,40,16,40,,5,40,50,11,1,False,,,50,False,2019-08-17 14:30:00,2019-08-17 15:20:00,False,False,150,1150,165,1465
77,77,A,2019-08-17 19:40:00,SU,1379,D,1,RTW,SU9,87,49,77,Regional,199,150.0,1150.0,225.0,1525.0,194,N,N,15,37,31,10,38,,5,40,50,15,1,False,,,50,False,2019-08-17 19:45:00,2019-08-17 20:35:00,False,False,150,1150,225,1525
78,78,D,2019-08-17 13:55:00,SU,1388,D,1,ULV,SU9,87,44,78,Regional,194,210.0,1150.0,180.0,1540.0,189,N,N,12,40,34,15,38,,7,40,50,12,1,False,,,50,False,2019-08-17 12:58:00,2019-08-17 13:48:00,False,False,210,1150,180,1540
79,79,A,2019-08-17 18:05:00,SU,1389,D,1,ULV,SU9,87,43,79,Regional,217,150.0,1150.0,150.0,1450.0,212,N,N,10,35,34,12,36,,5,40,50,10,1,False,,,50,False,2019-08-17 18:10:00,2019-08-17 19:00:00,False,False,150,1150,150,1450
80,80,D,2019-08-17 08:40:00,SU,1390,D,1,SCW,SU9,87,87,80,Regional,114,600.0,1000.0,0.0,1600.0,110,D,D,10,39,38,7,37,1.0,20,40,50,10,2,True,True,True,40,True,2019-08-17 07:40:00,2019-08-17 08:20:00,False,False,600,1000,0,1600
81,81,A,2019-08-17 13:50:00,SU,1391,D,1,SCW,SU9,87,70,81,Regional,203,180.0,1150.0,165.0,1495.0,198,N,N,11,37,34,11,37,,6,40,50,11,1,False,,,50,False,2019-08-17 13:56:00,2019-08-17 14:46:00,False,False,180,1150,165,1495
82,82,D,2019-08-17 12:50:00,SU,1392,D,1,PEE,SU9,87,83,82,Regional,217,150.0,1150.0,300.0,1600.0,212,N,N,10,35,34,12,36,,5,40,50,10,2,False,,,50,False,2019-08-17 11:55:00,2019-08-17 12:45:00,False,False,150,1150,300,1600
83,83,A,2019-08-17 22:10:00,SU,1393,D,1,PEE,SU9,87,76,83,Regional,210,150.0,1150.0,195.0,1495.0,205,N,N,13,36,34,13,39,,5,40,50,13,1,False,,,50,False,2019-08-17 22:15:00,2019-08-17 23:05:00,False,False,150,1150,195,1495
84,84,D,2019-08-17 22:40:00,SU,1396,D,1,SCW,SU9,87,79,84,Regional,190,180.0,1150.0,150.0,1480.0,185,N,N,10,39,35,13,40,,6,40,50,10,1,False,,,50,False,2019-08-17 21:44:00,2019-08-17 22:34:00,False,False,180,1150,150,1480
85,85,A,2019-08-17 04:35:00,SU,1397,D,1,SCW,SU9,87,70,85,Regional,217,150.0,1150.0,150.0,1450.0,212,N,N,10,35,34,12,36,,5,40,50,10,1,False,,,50,False,2019-08-17 04:40:00,2019-08-17 05:30:00,False,False,150,1150,150,1450
86,86,D,2019-08-17 15:20:00,SU,1404,D,1,SVX,SU9,87,68,86,Regional,192,210.0,1150.0,165.0,1525.0,187,N,N,11,36,33,14,37,,7,40,50,11,1,False,,,50,False,2019-08-17 14:23:00,2019-08-17 15:13:00,False,False,210,1150,165,1525
87,87,A,2019-08-17 21:35:00,SU,1405,D,1,SVX,SU9,87,79,87,Regional,88,150.0,1150.0,180.0,1480.0,86,N,N,12,37,39,16,35,,5,40,50,12,1,False,,,50,False,2019-08-17 21:40:00,2019-08-17 22:30:00,False,False,150,1150,180,1480
88,88,D,2019-08-17 00:40:00,SU,1428,D,1,MQF,SU9,87,78,88,Regional,206,150.0,1150.0,165.0,1465.0,201,N,N,11,38,33,11,36,,5,40,50,11,1,False,,,50,False,2019-08-16 23:45:00,2019-08-17 00:35:00,False,False,150,1150,165,1465
89,89,A,2019-08-17 06:30:00,SU,1429,D,1,MQF,SU9,87,87,89,Regional,122,660.0,1000.0,0.0,1660.0,118,D,D,7,36,35,5,36,1.0,22,40,50,7,2,True,True,True,40,True,2019-08-17 06:52:00,2019-08-17 07:32:00,False,False,660,1000,0,1660
90,90,D,2019-08-17 14:45:00,SU,1434,D,1,MQF,SU9,87,77,90,Regional,88,150.0,1150.0,180.0,1480.0,86,N,N,12,37,39,16,35,,5,40,50,12,1,False,,,50,False,2019-08-17 13:50:00,2019-08-17 14:40:00,False,False,150,1150,180,1480
91,91,A,2019-08-17 20:55:00,SU,1435,D,1,MQF,SU9,87,70,91,Regional,202,180.0,1150.0,165.0,1495.0,197,N,N,11,39,34,15,37,,6,40,50,11,1,False,,,50,False,2019-08-17 21:01:00,2019-08-17 21:51:00,False,False,180,1150,165,1495
